,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,Tweet,cleaned_hashtag
190,AlfioriLinda,"Activist, Writer, founder of the I Am Healing Too social movement and music lover. https://t.co/4AFYv1IpvG","Santa Monica, California",44,402,4044,2015-04-13 16:19:09,2020-07-26 01:41:54,0,"Due to the #lockdown, couples are moving in together too fast. whirlwind or turbo relationships. Women want a #relationship the most when they are stress out. Do exercise &amp; focus on becoming emotionally stronger to prevent ending in a worse situation than the one you were before. https://t.co/9Ro2QD5sbE","[{'text': 'lockdown', 'indices': [11, 20]}, {'text': 'relationship', 'indices': [110, 123]}]","['due', 'couple', 'move', 'together', 'fast', 'whirlwind', 'turbo', 'relationship', 'women', 'want', 'stress', 'out', 'exercise', 'amp', 'focus', 'become', 'emotionally', 'strong', 'prevent', 'end', 'bad', 'situation', 'one', 'before']","['#lockdown,', '#relationship']"
191,thejamieisjamie,"Instigator, Dad, angel investor, Grandpa, DJ, friend, public speaker & former Virgin. I’m just a boy, standing in front of the world, asking you to follow me.","Portland, Oregon",491,323,18277,2012-06-27 08:02:29,2020-07-26 01:41:34,0,Some of you are trash. Pick up your #biohazard #facemasks #trash #whileoutwalking #COVIDIOT #pandemic #coronavirus  https://t.co/L6fQK8mjQE,"[{'text': 'biohazard', 'indices': [36, 46]}, {'text': 'facemasks', 'indices': [47, 57]}, {'text': 'trash', 'indices': [58, 64]}, {'text': 'whileoutwalking', 'indices': [65, 81]}, {'text': 'COVIDIOT', 'indices': [82, 91]}, {'text': 'pandemic', 'indices': [92, 101]}, {'text': 'coronavirus', 'indices': [102, 114]}]","['trash', 'pick']","['#biohazard', '#facemasks', '#trash', '#whileoutwalking', '#COVIDIOT', '#pandemic', '#coronavirus']"
192,MicrobesInfect,Microbes & Infection covers all fields of infection & immunity. Companion journal: https://t.co/6LsjDoNSMj,"Paris, France",31005,70998,24896,2011-06-08 02:37:08,2020-07-26 01:41:16,10,"Ancient teeth help reveal long history of epidemics.

Paleogenomics, which studies DNA in remnants of ancient teeth, provides evidence that humanity has confronted #pandemics 1000s of years earlier than originally thought.

https://t.co/9KbXxZ1Jc5 #pandemic #genomics","[{'text': 'pandemics', 'indices': [164, 174]}, {'text': 'pandemic', 'indices': [248, 257]}, {'text': 'genomics', 'indices': [258, 267]}]","['ancient', 'tooth', 'help', 'reveal', 'long', 'history', 'epidemic', 'paleogenomics', 'study', 'dna', 'remnant', 'ancient', 'tooth', 'provide', 'evidence', 'humanity', 'confront', '1000s', 'year', 'earlier', 'originally', 'think']","['#pandemics', '#pandemic', '#genomics']"
193,JayneFlan,Occupational therapist at a Montessori school. Studying Masters of Public Health at UNSW. Cofounder/treasurer @ModernMoneyAus #MMT,"Inner West, Sydney, Australa",889,340,3494,2013-09-02 12:30:09,2020-07-26 01:40:43,1,"Wilfully ignoring the science that says ‘go hard, go early’ is both better for business &amp; public health. 

#MMT exposes that the economic argument upon which they justify gambling with our lives is deadly bunkum. 

#lockdown #go2zero #covid19nsw #auspol

 @GladysB @JodiMcKayMP https://t.co/7jYt9UIsjp","[{'text': 'MMT', 'indices': [111, 115]}, {'text': 'lockdown', 'indices': [219, 228]}, {'text': 'go2zero', 'indices': [229, 237]}, {'text': 'covid19nsw', 'indices': [238, 249]}, {'text': 'auspol', 'indices': [250, 257]}]","['wilfully', 'ignore', 'science', 'say', 'hard', 'early', 'good', 'business', 'amp', 'public', 'health', 'mmt', 'expose', 'economic', 'argument', 'upon', 'justify', 'gamble', 'life', 'deadly', 'bunkum', 'lockdown']","['#go2zero', '#covid19nsw', '#auspol\n\n']"
194,michaeljantze,"Author, illustrator. Creator of the comic strip The Norm, senior art director at https://t.co/7S9G98uyc5. There’s a new THE NORM® comic collection at https://t.co/lYHltCBmLX","Seattle, WA",510,1443,9132,2009-04-10 21:02:15,2020-07-26 01:40:41,0,"Mr. Lux drops in!
.
.
#misterlux #mrlux #jantze #sanitysketch #sanitysketching #cartooncharacter #cartoon #pandemic #mixedmedia #watercolorillustration #stayhome #staysmart #hunkerdowncheerup #sakura #pigmamicron… https://t.co/LhTjmHtcWz","[{'text': 'misterlux', 'indices': [22, 32]}, {'text': 'mrlux', 'indices': [33, 39]}, {'text': 'jantze', 'indices': [40, 47]}, {'text': 'sanitysketch', 'indices': [48, 61]}, {'text': 'sanitysketching', 'indices': [62, 78]}, {'text': 'cartooncharacter', 'indices': [79, 96]}, {'text': 'cartoon', 'indices': [97, 105]}, {'text': 'pandemic', 'indices': [106, 115]}, {'text': 'mixedmedia', 'indices': [116, 127]}, {'text': 'watercolorillustration', 'indices': [128, 151]}, {'text': 'stayhome', 'indices': [152, 161]}, {'text': 'staysmart', 'indices': [162, 172]}, {'text': 'hunkerdowncheerup', 'indices': [173, 191]}, {'text': 'sakura', 'indices': [192, 199]}, {'text': 'pigmamicron', 'indices': [200, 212]}]","['lux', 'drop', 'misterlux']","['#mrlux', '#jantze', '#sanitysketch', '#sanitysketching', '#cartooncharacter', '#cartoon', '#pandemic', '#mixedmedia', '#watercolorillustration', '#stayhome', '#staysmart', '#hunkerdowncheerup', '#sakura', '#pigmamicron…']"
195,icanvpgradeyou,"Songwriter, Recording Artist, Producer.

#vpgradeverything","Dallas, TX",8,13,37,2019-12-18 21:30:10,2020-07-26 01:40:25,0,"#money always on my mind #vpgradeverything #johnnyvpgrade #music #art #love #stayhome #safe #quarantine 
#lockdown #studio https://t.co/dbsd8ZBbMB","[{'text': 'money', 'indices': [0, 6]}, {'text': 'vpgradeverything', 'indices': [25, 42]}, {'text': 'johnnyvpgrade', 'indices': [43, 57]}, {'text': 'music', 'indices': [58, 64]}, {'text': 'art', 'indices': [65, 69]}, {'text': 'love', 'indices': [70, 75]}, {'text': 'stayhome', 'indices': [76, 85]}, {'text': 'safe', 'indices': [86, 91]}, {'text': 'quarantine', 'indices': [92, 103]}, {'text': 'lockdown', 'indices': [105, 114]}, {'text': 'studio', 'indices': [115, 122]}]","['always', 'mind', 'lockdown']","['#money', '#vpgradeverything', '#johnnyvpgrade', '#music', '#art', '#love', '#stayhome', '#safe', '#quarantine', '#studio']"
196,author_dalton,Just a struggling indie author here looking for some love! #goodreads #indieauthor #selfpub #selfpublishing #nonfiction #bookworms #ebook #writerscommunity,,471,658,2581,2017-10-19 23:06:32,2020-07-26 01:40:17,0,"It does not look like #USA will get rid of the #COVID19 #pandemic anytime soon. Every restaurant that I pass by, that has #outdoordining has all the tables packed in so close like its 1999! https://t.co/Xl1cRFi9Xd","[{'text': 'USA', 'indices': [22, 26]}, {'text': 'COVID19', 'indices': [47, 55]}, {'text': 'pandemic', 'indices': [56, 65]}, {'text': 'outdoordining', 'indices': [122, 136]}]","['look', 'like', 'get', 'rid', 'anytime', 'soon', 'every', 'restaurant', 'pass', 'table', 'pack', 'close', 'like', '1999']","['#USA', '#COVID19', '#pandemic', '#outdoordining']"
197,BankDirector,"Leading resource for the financial industry since 1991. Tweeting the latest news, commentary and insight on all things officer + board-related.","Nashville, TN",478,7763,16352,2009-04-27 21:18:53,2020-07-26 01:39:56,0,"Aon and McLagan have tracked #corporate reactions to Covid-19 since the start of the #crisis, recording a wide array of #pandemic responses through May 2020 from 66% of companies in the Russell 3000. Find out their reactions here: https://t.co/SmFI28Ym89","[{'text': 'corporate', 'indices': [29, 39]}, {'text': 'crisis', 'indices': [85, 92]}, {'text': 'pandemic', 'indices': [120, 129]}]","['aon', 'mclagan', 'track', 'reaction', 'covid', 'since', 'start', 'record', 'wide', 'array', 'response', 'may', '2020', 'company', 'russell', '3000', 'find', 'reaction', 'here']","['#corporate', '#crisis,', '#pandemic']"
198,michaeljantze,"Author, illustrator. Creator of the comic strip The Norm, senior art director at https://t.co/7S9G98uyc5. There’s a new THE NORM® comic collection at https://t.co/lYHltCBmLX","Seattle, WA",510,1443,9132,2009-04-10 21:02:15,2020-07-26 01:39:30,0,"Mr. Lux works on a portrait of the immutable Arnold Roth, and, lo! It is officialarnoldroth 
.
.
#arnoldroth #arnieroth #misterlux #mrlux #jantze #sanitysketch #sanitysketching #cartooncharacter #cartoon #pandemic… https://t.co/hQHFjeISui","[{'text': 'arnoldroth', 'indices': [97, 108]}, {'text': 'arnieroth', 'indices': [109, 119]}, {'text': 'misterlux', 'indices': [120, 130]}, {'text': 'mrlux', 'indices': [131, 137]}, {'text': 'jantze', 'indices': [138, 145]}, {'text': 'sanitysketch', 'indices': [146, 159]}, {'text': 'sanitysketching', 'indices': [160, 176]}, {'text': 'cartooncharacter', 'indices': [177, 194]}, {'text': 'cartoon', 'indices': [195, 203]}, {'text': 'pandemic', 'indices': [204, 213]}]","['lux', 'work', 'portrait', 'immutable', 'arnold', 'roth', 'and', 'officialarnoldroth', 'arnoldroth']","['#arnieroth', '#misterlux', '#mrlux', '#jantze', '#sanitysketch', '#sanitysketching', '#cartooncharacter', '#cartoon', '#pandemic…']"
199,theempirejewels,Jesus Lover | Wife | Mother Sister | Friend | MSW | Entrepreneur,"Fayetteville, NC",183,75,1756,2009-04-09 00:05:12,2020-07-26 01:38:01,0,"These neon beauties are 🔥🔥
#EmpireJewels #Pink #Leather #Earrings#PaparazziAccessories #Fun #Fashion #Affordable #Colorful #Variety #Trendy #Versatile #Summer #Pandemic #Corona #COVID19 #Shop #Local #Business #NC… https://t.co/IDvR7WcpVr","[{'text': 'EmpireJewels', 'indices': [27, 40]}, {'text': 'Pink', 'indices': [41, 46]}, {'text': 'Leather', 'indices': [47, 55]}, {'text': 'Fun', 'indices': [87, 91]}, {'text': 'Fashion', 'indices': [92, 100]}, {'text': 'Affordable', 'indices': [101, 112]}, {'text': 'Colorful', 'indices': [113, 122]}, {'text': 'Variety', 'indices': [123, 131]}, {'text': 'Trendy', 'indices': [132, 139]}, {'text': 'Versatile', 'indices': [140, 150]}, {'text': 'Summer', 'indices': [151, 158]}, {'text': 'Pandemic', 'indices': [159, 168]}, {'text': 'Corona', 'indices': [169, 176]}, {'text': 'COVID19', 'indices': [177, 185]}, {'text': 'Shop', 'indices': [186, 191]}, {'text': 'Local', 'indices': [192, 198]}, {'text': 'Business', 'indices': [199, 208]}, {'text': 'NC', 'indices': [209, 212]}]","['neon', 'beauty', 'empirejewel']","['#Pink', '#Leather', '#Earrings#PaparazziAccessories', '#Fun', '#Fashion', '#Affordable', '#Colorful', '#Variety', '#Trendy', '#Versatile', '#Summer', '#Pandemic', '#Corona', '#COVID19', '#Shop', '#Local', '#Business', '#NC…']"
200,shalin1312,forever is an illusion ✨⭐,"Navi Mumbai, India",25,1,4,2020-07-21 13:09:46,2020-07-26 01:37:58,1,"If you truely. Love nature you will find beauty everywhere.🌼

#sundayvibes #nature #SundayMorning #lockdown https://t.co/SeMjyLOZk0","[{'text': 'sundayvibes', 'indices': [62, 74]}, {'text': 'nature', 'indices': [75, 82]}, {'text': 'SundayMorning', 'indices': [83, 97]}, {'text': 'lockdown', 'indices': [98, 107]}]","['truely', 'love', 'nature', 'find', 'beauty', 'everywhere', 'sundayvibes']","['#nature', '#SundayMorning', '#lockdown']"
201,mrleewhitfield,"Chameleon, Comedian, Corinthian and Caricature 
& Branding Consultant, Melbourne, Australia","Melbourne, Victoria",213,97,6586,2010-02-16 06:37:16,2020-07-26 01:37:41,0,@CostasGarden @deniseshrivell #lockdown frost #COVID19Vic https://t.co/6k9rqKKDXH,"[{'text': 'lockdown', 'indices': [30, 39]}, {'text': 'COVID19Vic', 'indices': [46, 57]}]",['frost'],"['#lockdown', '#COVID19Vic']"
202,MtnMurray,"Determination- Firmness of Purpose. Resoluteness.

JesusisJedi⚡🤺
🔥💥✨🌌🌄",Montana,69,3,351,2020-03-15 03:50:01,2020-07-26 01:37:20,0,"#Event201 was a #pandemic exercise, conducted October 18, 2019.The Johns Hopkins Center for Health Security, World Economic Forum, Bill&amp;Melinda Gates Foundation jointly proposed recommendations. #VirusCorona#SOCIALDISTANCING
##XOXX##QUARANTINE#COVIDVACCINE https://t.co/JlES4DcF9q","[{'text': 'Event201', 'indices': [0, 9]}, {'text': 'pandemic', 'indices': [16, 25]}]","['exercise', 'conduct', 'october', '2019', 'the', 'johns', 'hopkins', 'center', 'health', 'security', 'world', 'economic', 'forum', 'bill', 'amp', 'melinda', 'gates', 'foundation', 'jointly', 'propose', 'recommendation']","['#Event201', '#pandemic', '#VirusCorona#SOCIALDISTANCING\n##XOXX##QUARANTINE#COVIDVACCINE']"
203,ebizexec,Helping companies realize value through innovation and thought leadership.,,414,309,2687,2008-10-09 16:39:36,2020-07-26 01:37:13,0,"Two quotes to live by in these #pandemic times:

""Better safe than sorry.""

""When facing the unknown, it is better to err on the side of caution.""

Be safe and keep healthy!

#coronavirus #covid19 #doitforyourneighbor #uncommoncommonsense #forrestgumpsmama","[{'text': 'pandemic', 'indices': [31, 40]}, {'text': 'coronavirus', 'indices': [175, 187]}, {'text': 'covid19', 'indices': [188, 196]}, {'text': 'doitforyourneighbor', 'indices': [197, 217]}, {'text': 'uncommoncommonsense', 'indices': [218, 238]}, {'text': 'forrestgumpsmama', 'indices': [239, 256]}]","['two', 'quote', 'live', 'time', 'better', 'safe', 'sorry', 'when', 'face', 'unknown', 'good', 'err', 'side', 'caution', 'safe', 'keep', 'healthy', 'coronavirus']","['#pandemic', '#covid19', '#doitforyourneighbor', '#uncommoncommonsense', '#forrestgumpsmama']"
204,FashionsPretty,"Look beautiful starts by feeling beautiful 💃💃
follow us on Facebook, Instagram,YouTube and Twitter.
https://t.co/jMq7tljhEK",,219,8,87,2020-06-02 15:05:36,2020-07-26 01:36:46,0,"Forget all the bad memories of a week that’s already gone. Prepare yourself for yet another beautiful week that starts with a delightful Sunday experience. Happy Sunday.
#sundaymorning #sunday #sundayvibes #sundayfunday #sundaymood #SundayMotivation #COVID__19 #lockdown #India https://t.co/vOsgfGU21n","[{'text': 'sundaymorning', 'indices': [170, 184]}, {'text': 'sunday', 'indices': [185, 192]}, {'text': 'sundayvibes', 'indices': [193, 205]}, {'text': 'sundayfunday', 'indices': [206, 219]}, {'text': 'sundaymood', 'indices': [220, 231]}, {'text': 'SundayMotivation', 'indices': [232, 249]}, {'text': 'COVID__19', 'indices': [250, 260]}, {'text': 'lockdown', 'indices': [261, 270]}, {'text': 'India', 'indices': [271, 277]}]","['forget', 'bad', 'memory', 'week', 'that', 'already', 'go', 'prepare', 'yet', 'another', 'beautiful', 'week', 'start', 'delightful', 'sunday', 'experience', 'happy', 'sunday', 'sundaymorning']","['#sunday', '#sundayvibes', '#sundayfunday', '#sundaymood', '#SundayMotivation', '#COVID__19', '#lockdown', '#India']"
205,RolondaWatts,"Award-winning Talk Show Host, Actor, Comedian, Voice Actor, Journalist, Author of Destiny Lingers, a romance suspense novel, endorsed by Dr. Maya Angelou.","Los Angeles, CA",894,12567,31255,2009-02-22 21:20:34,2020-07-26 01:36:14,0,#Divorce during #coronavirus: Will splits soar after #pandemic #quarantines end? https://t.co/h2EZJ3Mqht via @usatoday,"[{'text': 'Divorce', 'indices': [0, 8]}, {'text': 'coronavirus', 'indices': [16, 28]}, {'text': 'pandemic', 'indices': [53, 62]}, {'text': 'quarantines', 'indices': [63, 75]}]","['split', 'soar', 'end', 'via']","['#Divorce', '#coronavirus:', '#pandemic', '#quarantines']"
206,FarFaithNull,When everything is lost - there is no hockey!  Time to share what we all have been thinking while living in quarantine.  Blah! Now for animal venery.,Quarantine,68,6,7330,2016-06-17 17:58:09,2020-07-26 01:36:12,0,"Noon today, I swear the sink was empty this morning. #Lockdown #QuarantineLife","[{'text': 'Lockdown', 'indices': [53, 62]}, {'text': 'QuarantineLife', 'indices': [63, 78]}]","['noon', 'today', 'swear', 'sink', 'empty', 'morning']","['#Lockdown', '#QuarantineLife']"
207,ShWtNk,ダメ人間の独り言。 / Showty said...,Los Angeles,307,83,5513,2009-11-26 12:07:21,2020-07-26 01:34:33,0,"@ABC7 This is a beautiful site of America's individualism, and this is why California may lockdown again. They KILL economy we should recognize that #COVID19 #lockdown #California","[{'text': 'COVID19', 'indices': [149, 157]}, {'text': 'lockdown', 'indices': [158, 167]}, {'text': 'California', 'indices': [168, 179]}]","['beautiful', 'site', 'america', 'individualism', 'california', 'may', 'lockdown', 'again', 'kill', 'economy', 'recognize']","['#COVID19', '#lockdown', '#California']"
208,Mill_1_ionDream,RIP Angel,"Miami, FL",546,188,12656,2014-10-21 18:57:21,2020-07-26 01:34:14,0,"Get ready to see a Nationwide Teacher &amp; Teacher's Aide shortage.

Will the medical professions tag along?

#schoolsreopening #CARESAct2 #governmenttakesyouforgranted #COVID19 #pandemic","[{'text': 'schoolsreopening', 'indices': [111, 128]}, {'text': 'CARESAct2', 'indices': [129, 139]}, {'text': 'governmenttakesyouforgranted', 'indices': [140, 169]}, {'text': 'COVID19', 'indices': [170, 178]}, {'text': 'pandemic', 'indices': [179, 188]}]","['get', 'ready', 'see', 'nationwide', 'teacher', 'amp', 'teacher', 'aide', 'shortage', 'will', 'medical', 'profession', 'tag', 'along', 'schoolsreopen']","['#CARESAct2', '#governmenttakesyouforgranted', '#COVID19', '#pandemic']"
209,anyislands,Music 🎼 tennis🎾 Patriots 🇺🇸,,487,139,6123,2012-05-19 17:53:21,2020-07-26 01:33:32,0,@BreitbartNews Dr. Fauci confuses people. He is supposed to be the expert. #coronavirus 🦠 #pandemic #Plandemic,"[{'text': 'coronavirus', 'indices': [75, 87]}, {'text': 'pandemic', 'indices': [90, 99]}, {'text': 'Plandemic', 'indices': [100, 110]}]","['fauci', 'confuse', 'people', 'suppose', 'expert']","['#coronavirus', '#pandemic', '#Plandemic']"
210,haqsmusings,Riaz Haq writes this blog to express his opinions and make comments on wide ranging topics.The subjects include events in Pakistan and Silicon Valley.,"Silicon Valley, CA",317,2518,30432,2009-01-19 04:00:06,2020-07-26 01:33:20,4,"#COVID19 in #Pakistan: Smart #Lockdown Has Brought Down Infections. Pakistanis need to continue to take all precautions during #EidulAzha holidays, including wearing face #masks, to ensure that COVID19 fades out in the country.  Otherwise, it will re-spike https://t.co/J085VXruLI https://t.co/v6s0sA4YsB","[{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'Pakistan', 'indices': [12, 21]}, {'text': 'Lockdown', 'indices': [29, 38]}, {'text': 'EidulAzha', 'indices': [127, 137]}, {'text': 'masks', 'indices': [171, 177]}]","['smart', 'brought', 'infections', 'pakistanis', 'ne', 'continue', 'take', 'precaution', 'holiday', 'include', 'wear', 'face', 'ensure', 'covid19', 'fade', 'country', 'otherwise', 'spike']","['#COVID19', '#Pakistan:', '#Lockdown', '#EidulAzha', '#masks,']"
211,IAM__Network,"Curation | Tools | Tips | Services

IAM Platform powers IAM Network:

GO: https://t.co/OJVc7LULBT

Blog | Social | Podcast | Code Trove",Worldwide,14935,17815,740825,2010-12-13 21:24:29,2020-07-26 01:33:09,0,"Pa. coronavirus numbers double what they were last month; back-to-school worries intensify 

READ MORE: https://t.co/2IqzHNBXKU

#cdc #coronavirus #covid19 #mers #outbreak #pandemic #sars #ViralOutbreak #virus #who* https://t.co/Xbju7022T2","[{'text': 'cdc', 'indices': [129, 133]}, {'text': 'coronavirus', 'indices': [134, 146]}, {'text': 'covid19', 'indices': [147, 155]}, {'text': 'mers', 'indices': [156, 161]}, {'text': 'outbreak', 'indices': [162, 171]}, {'text': 'pandemic', 'indices': [172, 181]}, {'text': 'sars', 'indices': [182, 187]}, {'text': 'ViralOutbreak', 'indices': [188, 202]}, {'text': 'virus', 'indices': [203, 209]}, {'text': 'who', 'indices': [210, 214]}]","['coronavirus', 'number', 'double', 'last', 'month', 'back', 'school', 'worry', 'intensify', 'read', 'more']","['#coronavirus', '#covid19', '#mers', '#outbreak', '#pandemic', '#sars', '#ViralOutbreak', '#virus', '#who*']"
212,jordanhgreen,"Dog-loving Canadian Armed Forces veteran and all around nice-guy. Amateur astronomer, sci-tech geek, environmentalist, entrepreneur and ex-journalist.","Toronto, Ontario",2860,7297,84931,2010-01-10 08:39:24,2020-07-26 01:32:44,0,"Hey @Apple I get you want to keep costs down, but haven’t you learned anything during this #pandemic about economics? If your #customers don’t have jobs, they aren’t going to be buying iPhones. https://t.co/QlWZPQwCIc","[{'text': 'pandemic', 'indices': [91, 100]}, {'text': 'customers', 'indices': [126, 136]}]","['hey', 'get', 'want', 'keep', 'cost', 'down', 'haven', 'learn', 'anything', 'economic', 'don', 'job', 'aren', 'go', 'buy', 'iphone']","['#pandemic', '#customers']"
213,schroederwrite,"It has been rediscovered. / What? -Eternity. / It’s the sea fused
With the sun.",20th Arrondissement,14206,12976,33836,2011-10-25 19:46:08,2020-07-26 01:32:37,0,"@alexsalvinews @WhiteHouse Alex, @realDonaldTrump, @VP, and the @GOP mounted the most incompetent response to #Covid19 of any nation on earth.

The number of patients hospitalized with #coronavirus in the U.S. has doubled over the past month.

Where was Trump? On the golf course, of course!

#pandemic","[{'text': 'Covid19', 'indices': [110, 118]}, {'text': 'coronavirus', 'indices': [185, 197]}, {'text': 'pandemic', 'indices': [293, 302]}]","['alex', 'mount', 'incompetent', 'response', 'nation', 'earth', 'the', 'number', 'patient', 'hospitalize', 'double', 'past', 'month', 'where', 'trump', 'golf', 'course', 'course', 'pandemic']","['#Covid19', '#coronavirus']"
214,DenyseWhelan1,"Denyse Whelan: Wife, Mum, Grandma. Retired K-6 Educator. N.S.W. Australia. Denyse Whelan Blogs: website below. HeadNeckCancer Ambassador: @beyondfive",Australia - NSW Central Coast,1593,1344,26548,2013-04-25 14:53:01,2020-07-26 01:31:03,0,Why are you waiting @NSWHealth @GladysB @BradHazzard #lockdown #nsw now https://t.co/aVwBurcsks,"[{'text': 'lockdown', 'indices': [53, 62]}, {'text': 'nsw', 'indices': [63, 67]}]",['wait'],"['#lockdown', '#nsw']"
215,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,United States,13313,26296,291133,2009-03-12 14:16:30,2020-07-26 01:31:01,0,Rutgers football team in quarantine after six positive COVID-19 tests - #COVID19 #Covid #Coronavirus #trump #Biden #pandemic                                          #virus #hotspot #mask #SchoolReopening #trumpvirus https://t.co/yd8DCdBuDg,"[{'text': 'COVID19', 'indices': [72, 80]}, {'text': 'Covid', 'indices': [81, 87]}, {'text': 'Coronavirus', 'indices': [88, 100]}, {'text': 'trump', 'indices': [101, 107]}, {'text': 'Biden', 'indices': [108, 114]}, {'text': 'pandemic', 'indices': [115, 124]}, {'text': 'virus', 'indices': [166, 172]}, {'text': 'hotspot', 'indices': [173, 181]}, {'text': 'mask', 'indices': [182, 187]}, {'text': 'SchoolReopening', 'indices': [188, 204]}, {'text': 'trumpvirus', 'indices': [205, 216]}]","['rutger', 'football', 'team', 'quarantine', 'six', 'positive', 'covid', 'test']","['#COVID19', '#Covid', '#Coronavirus', '#trump', '#Biden', '#pandemic', '#virus', '#hotspot', '#mask', '#SchoolReopening', '#trumpvirus']"
216,SpeaksJk,"जम्मू कश्मीर की हर खबर, हर पल Email: editor.jkspeaks@gmail.com
Facebook : https://t.co/A30dnz9Q5r","नई दिल्ली, भारत",41,288,3546,2016-07-03 08:02:49,2020-07-26 01:30:58,0,#NorthKorea imposed a #lockdown on the border city of #Kaesong after discovering their first 'suspected' #COVID19 case: AFP news agency https://t.co/nr1wrPvi3x,"[{'text': 'NorthKorea', 'indices': [0, 11]}, {'text': 'lockdown', 'indices': [22, 31]}, {'text': 'Kaesong', 'indices': [54, 62]}, {'text': 'COVID19', 'indices': [105, 113]}]","['impose', 'border', 'city', 'discover', 'first', 'suspect', 'case', 'afp', 'news', 'agency']","['#NorthKorea', '#lockdown', '#Kaesong', '#COVID19']"
217,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,United States,13313,26296,291133,2009-03-12 14:16:30,2020-07-26 01:30:49,1,Huge black bear spotted relaxing in a pool is one big summer mood - #COVID19 #Covid #Coronavirus #trump #Biden #pandemic                                          #virus #hotspot #mask #SchoolReopening #trumpvirus  https://t.co/6ymC0RFspL,"[{'text': 'COVID19', 'indices': [68, 76]}, {'text': 'Covid', 'indices': [77, 83]}, {'text': 'Coronavirus', 'indices': [84, 96]}, {'text': 'trump', 'indices': [97, 103]}, {'text': 'Biden', 'indices': [104, 110]}, {'text': 'pandemic', 'indices': [111, 120]}, {'text': 'virus', 'indices': [162, 168]}, {'text': 'hotspot', 'indices': [169, 177]}, {'text': 'mask', 'indices': [178, 183]}, {'text': 'SchoolReopening', 'indices': [184, 200]}, {'text': 'trumpvirus', 'indices': [201, 212]}]","['huge', 'black', 'bear', 'spot', 'relax', 'pool', 'one', 'big', 'summer', 'mood']","['#COVID19', '#Covid', '#Coronavirus', '#trump', '#Biden', '#pandemic', '#virus', '#hotspot', '#mask', '#SchoolReopening', '#trumpvirus']"
218,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,United States,13313,26296,291133,2009-03-12 14:16:30,2020-07-26 01:30:20,0,At least 20 lifeguards in NJ test positive for coronavirus after gathering - #COVID19 #Covid #Coronavirus #trump #Biden #pandemic                                          #virus #hotspot #mask #SchoolReopening #trumpvirus https://t.co/FwxRv1xupM,"[{'text': 'COVID19', 'indices': [77, 85]}, {'text': 'Covid', 'indices': [86, 92]}, {'text': 'Coronavirus', 'indices': [93, 105]}, {'text': 'trump', 'indices': [106, 112]}, {'text': 'Biden', 'indices': [113, 119]}, {'text': 'pandemic', 'indices': [120, 129]}, {'text': 'virus', 'indices': [171, 177]}, {'text': 'hotspot', 'indices': [178, 186]}, {'text': 'mask', 'indices': [187, 192]}, {'text': 'SchoolReopening', 'indices': [193, 209]}, {'text': 'trumpvirus', 'indices': [210, 221]}]","['least', 'lifeguard', 'test', 'positive', 'coronavirus', 'gathering']","['#COVID19', '#Covid', '#Coronavirus', '#trump', '#Biden', '#pandemic', '#virus', '#hotspot', '#mask', '#SchoolReopening', '#trumpvirus']"
219,NewsbyMorB,Get the breaking news that matters.,,0,31,16064,2020-01-20 11:01:37,2020-07-26 01:30:11,1,⚠️🦠 Can UV-C lighting help kill the virus?TVA aids businesses installing virus-killing light technology - https://t.co/FeRaxGlq5y CLICK to read 👈 Virus BREAKING Live News 24/7 ⏰ PLEASE RT and FOLLOW 🙏 #virus #outbreak #pandemic #sars #ebola #COVID2019 #COVID19 #coronavirus,"[{'text': 'virus', 'indices': [201, 207]}, {'text': 'outbreak', 'indices': [208, 217]}, {'text': 'pandemic', 'indices': [218, 227]}, {'text': 'sars', 'indices': [228, 233]}, {'text': 'ebola', 'indices': [234, 240]}, {'text': 'COVID2019', 'indices': [241, 251]}, {'text': 'COVID19', 'indices': [252, 260]}, {'text': 'coronavirus', 'indices': [261, 273]}]","['light', 'help', 'kill', 'virus', 'tva', 'aid', 'business', 'instal', 'virus', 'kill', 'light', 'technology', 'click', 'read', 'virus', 'break', 'live', 'news', 'please', 'follow']","['#virus', '#outbreak', '#pandemic', '#sars', '#ebola', '#COVID2019', '#COVID19', '#coronavirus']"
